data_source,sex,bill_length_mm,flipper_length_mm
synthetic,male,39.009147710646054,187.89438609907882
synthetic,female,36.979375018423426,186.88497169335608
synthetic,male,43.03939131804176,201.07282163464328
synthetic,male,39.49595958568706,189.48620523909372
synthetic,male,41.184112010985906,195.00627054486898
synthetic,female,38.135443508464235,190.66518340133888
synthetic,male,40.19546651960079,191.77351288926806
synthetic,male,40.17827975363107,191.7173141307163
synthetic,female,35.821121231805776,183.09761431556535
synthetic,male,41.89994310773794,197.3469563400373
synthetic,male,35.466659550974335,176.31085507825773
synthetic,female,37.0352227733712,187.06758746304175
synthetic,female,38.28344798381942,191.14914110401082
synthetic,female,37.27851707746507,187.863132004515
synthetic,male,37.064265554270506,181.5348439426118
synthetic,female,36.114384733780064,184.056552417622
synthetic,male,39.77986552474796,190.41454518093056
synthetic,female,38.56790441515867,192.07928109262141
synthetic,female,40.08854109250752,197.051589066433
synthetic,female,38.914254256744556,193.21180545212087
synthetic,female,39.262049344024305,194.34905559970287
synthetic,female,35.77236307832335,182.93818073161967
synthetic,male,36.031099201128626,178.1565081622611
synthetic,male,37.96537975436655,184.48138428929352
synthetic,male,39.60428845532735,189.8404282499746
synthetic,male,39.75011638830593,190.31726890807187
synthetic,male,43.66148657245922,203.10700194877538
synthetic,male,40.77791849450581,193.67806421459306
synthetic,male,42.96575421220361,200.8320367226512
synthetic,female,37.81826950811256,189.62806070495364
synthetic,male,45.57039216501528,209.34890485727828
synthetic,female,35.77391955440984,182.9432702303613
synthetic,male,40.8881541506087,194.0385221990699
synthetic,female,38.121590560930684,190.61988584768397
synthetic,male,43.39834568516983,202.2465613507056
synthetic,male,37.42113930777438,182.7017802901456
synthetic,female,33.49582742415733,175.4941695785997
synthetic,male,34.535591171429296,173.26636799154153
synthetic,female,37.111514154787315,187.31705155252416
synthetic,female,38.79885326754074,192.83445741931905
synthetic,male,43.56248787671945,202.7832875391756
synthetic,female,35.59461525929553,182.35696569778227
synthetic,male,41.87724986311047,197.2727520262169
synthetic,female,38.088528706575474,190.51177736622472
synthetic,female,37.75774411686083,189.4301495996765
synthetic,male,36.34331958157041,179.17743308823609
synthetic,male,39.360993554665214,189.04488175779136
synthetic,female,38.0872992124417,190.50775706106165
synthetic,female,32.044891064636545,170.74977367035657
synthetic,female,35.8516279109082,183.19736766626048
synthetic,female,39.03828251314851,193.61736366170615
synthetic,male,37.090025665702775,181.61907656003376
synthetic,male,39.649950003625904,189.9897362892212
synthetic,male,41.649160963464006,196.5269274177856
synthetic,male,37.05039198297669,181.48947895162016
synthetic,female,36.789143805742036,186.2629373903741
synthetic,male,44.30529913994705,205.21219539218293
synthetic,male,41.797611235054234,197.0123428231469
synthetic,female,39.19767098033767,194.13854571534435
synthetic,female,36.45802195283037,185.18020681175463
synthetic,male,41.70000478610546,196.69318090128036
synthetic,female,39.11162067070416,193.85717104701425
synthetic,male,39.12803021471605,188.28311828720712
synthetic,female,38.233298089804926,190.9851566877406
synthetic,female,37.060725581668635,187.1509787286483
synthetic,male,39.80647629988747,190.5015593713591
synthetic,female,36.82108259427058,186.36737357505908
synthetic,male,38.971636013646766,187.77172714123625
synthetic,male,38.76478521341413,187.09534868824565
synthetic,male,39.3832711754548,189.11772702920936
synthetic,male,38.48246137084839,186.17218202095586
synthetic,female,37.52742498456817,188.67703238563118
synthetic,male,37.433758556727305,182.74304379057722
synthetic,male,41.36900097476386,195.610836305091
synthetic,female,36.19171144080539,184.30940190340513
synthetic,male,40.20066256880733,191.79050337574446
synthetic,female,34.736762271815344,179.55188456726367
synthetic,male,41.2327347586887,195.16526136740575
synthetic,female,40.702313817645845,199.05855566192122
synthetic,male,40.085884980603055,191.41519379289394
synthetic,female,34.498673147978366,178.77336036975686
synthetic,male,38.26517232472211,185.46167169803027
synthetic,male,37.926495501738785,184.35423723156646
synthetic,male,43.1471054479085,201.42503451679102
synthetic,male,40.47020842852798,192.67188750093442
synthetic,male,38.00253638773866,184.6028822296945
synthetic,male,39.288310944505064,188.80721793747182
synthetic,female,35.88651587942476,183.31144733211957
synthetic,male,38.68072980903571,186.82049713188212
synthetic,female,38.09919860434084,190.5466667112792
synthetic,male,44.50871574755194,205.8773444281531
synthetic,female,36.45723965547032,185.1776487888822
synthetic,female,37.096002986374465,187.26633180629472
synthetic,female,35.10049596223238,180.74125212372542
synthetic,female,39.69877373026089,195.77709438134534
synthetic,male,37.59002976310904,183.25403275799036
synthetic,female,37.63538639208507,189.0300538374063
synthetic,female,34.324214665622414,178.20290109053576
synthetic,female,39.32941719436622,194.5693407634263
synthetic,male,41.20635772057752,195.07901147032027
synthetic,female,37.715783644947905,189.29294365680707
synthetic,female,38.176068631574765,190.79802290638867
synthetic,male,42.91099694878537,200.65298673551465
synthetic,female,36.78340085194069,186.2441585884387
synthetic,female,36.62474150351413,185.72536066974286
synthetic,female,38.89443530385263,193.14699974345618
